circle,division,subdivision,section,area,catdesc,catcode,totservices,billdservices,units,load
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,SANATHNAGAR,SRT821 TO 920 RK BKRY OPP LANE,NON-DOMESTIC AND COMMERCIAL,2,53,52.0,3966,97.96
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,SANATHNAGAR,STREET LIGHTS,NON-DOMESTIC AND COMMERCIAL,2,6,6.0,275,16.0
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,SANATHNAGAR,SUBASH NAGAR,NON-DOMESTIC AND COMMERCIAL,2,81,80.0,10274,130.72
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,SANATHNAGAR,SUBASH NAGAR (WEST),NON-DOMESTIC AND COMMERCIAL,2,50,46.0,6353,94.5
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,SANATHNAGAR,TULASI NAGAR,NON-DOMESTIC AND COMMERCIAL,2,2,2.0,122,7.0
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,SANATHNAGAR,UDAY NAGAR,NON-DOMESTIC AND COMMERCIAL,2,21,19.0,3683,48.4
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,BORABANDA,ALLAPUR,NON-DOMESTIC AND COMMERCIAL,2,92,83.0,23759,190.62
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,BORABANDA,ALLAPUR-I,NON-DOMESTIC AND COMMERCIAL,2,79,79.0,13981,141.83
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,BORABANDA,AROGYA NAGAR,NON-DOMESTIC AND COMMERCIAL,2,28,20.0,810,19.0
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,BORABANDA,BABBUGUDA,NON-DOMESTIC AND COMMERCIAL,2,44,42.0,4097,87.56
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,BORABANDA,BANJARA NAGAR,NON-DOMESTIC AND COMMERCIAL,2,96,91.0,9612,120.02
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,BORABANDA,BRAHMA SHANKAR NAGAR,NON-DOMESTIC AND COMMERCIAL,2,49,48.0,6382,56.7
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,BORABANDA,DOUBLE BEDROOM KAMALA NAGAR,NON-DOMESTIC AND COMMERCIAL,2,1,1.0,87,5.0
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,BORABANDA,GANESH NAGAR,NON-DOMESTIC AND COMMERCIAL,2,4,4.0,745,8.5
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,BORABANDA,GRC HV BORABANDA,NON-DOMESTIC AND COMMERCIAL,2,143,106.0,266731,1858.16
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,BORABANDA,HARI NAGAR,NON-DOMESTIC AND COMMERCIAL,2,89,85.0,12131,130.89
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,BORABANDA,JYOTHI NAGAR - I,NON-DOMESTIC AND COMMERCIAL,2,37,27.0,1170,50.58
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,BORABANDA,JYOTHI NAGAR - II,NON-DOMESTIC AND COMMERCIAL,2,61,55.0,2529,57.86
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,BORABANDA,KABEER NAGAR,NON-DOMESTIC AND COMMERCIAL,2,37,34.0,1837,52.64
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,BORABANDA,KARMIKA NAGAR (N),NON-DOMESTIC AND COMMERCIAL,2,46,39.0,4553,66.95
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,BORABANDA,KARMIKA NAGAR (S),NON-DOMESTIC AND COMMERCIAL,2,32,31.0,2433,36.65
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,BORABANDA,KARMIKA NAGAR II,NON-DOMESTIC AND COMMERCIAL,2,33,30.0,2245,30.99
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,BORABANDA,MOTHI NAGAR (S),NON-DOMESTIC AND COMMERCIAL,2,138,127.0,22718,309.09
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,BORABANDA,N.R.R.PURAM SITE - II,NON-DOMESTIC AND COMMERCIAL,2,31,30.0,4077,60.26
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,BORABANDA,N.R.R.PURAM SITE - III,NON-DOMESTIC AND COMMERCIAL,2,146,140.0,25841,205.62
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,BORABANDA,N.R.R.PURAM-III (W),NON-DOMESTIC AND COMMERCIAL,2,43,42.0,7907,57.88
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,BORABANDA,NATCO SCHOOL,NON-DOMESTIC AND COMMERCIAL,2,30,22.0,1732,25.24
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,BORABANDA,NAVA BHARATH NAGAR,NON-DOMESTIC AND COMMERCIAL,2,32,32.0,5715,71.0
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,BORABANDA,NEW RAMA RAO NAGAR,NON-DOMESTIC AND COMMERCIAL,2,22,20.0,1263,45.8
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,BORABANDA,NSC BOSE NAGAR,NON-DOMESTIC AND COMMERCIAL,2,29,27.0,1384,32.66
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,BORABANDA,PEDDAMMA NAGAR,NON-DOMESTIC AND COMMERCIAL,2,47,43.0,2431,46.12
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,BORABANDA,PRATHIBHA NAGAR,NON-DOMESTIC AND COMMERCIAL,2,52,47.0,6529,72.08
