circle,division,subdivision,section,area,catdesc,catcode,totservices,billdservices,units,load,units_per_service,service_utilization_ratio,avg_load_per_service,load_efficiency,efficiency_category,anomaly_score,anomaly,risk_category
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,SANATHNAGAR,"S.R.T.QRTS, NEAR BUSSTOP",NON-DOMESTIC AND COMMERCIAL,2,213,201.0,42098,541.08,197.6431924882629,0.943661971830986,2.540281690140845,77.80365195534856,MEDIUM EFFICIENCY,0.18945044598430316,1,LOW RISK
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,SANATHNAGAR,S.R.T.QUARTERS,NON-DOMESTIC AND COMMERCIAL,2,137,132.0,13639,200.69,99.55474452554743,0.9635036496350364,1.464890510948905,67.96053615028153,MEDIUM EFFICIENCY,0.2347693314732191,1,LOW RISK
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,SANATHNAGAR,SANATH NAGAR,NON-DOMESTIC AND COMMERCIAL,2,228,178.0,34342,365.28,150.62280701754386,0.7807017543859649,1.6021052631578947,94.01554971528692,MEDIUM EFFICIENCY,0.18172125333485817,1,LOW RISK
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,SANATHNAGAR,SIVAJI NAGAR,NON-DOMESTIC AND COMMERCIAL,2,6,6.0,459,10.0,76.5,1.0,1.6666666666666667,45.9,LOW EFFICIENCY,0.2592865471798478,1,LOW RISK
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,SANATHNAGAR,SRT821 TO 920 RK BKRY OPP LANE,NON-DOMESTIC AND COMMERCIAL,2,53,52.0,3966,97.96,74.83018867924528,0.981132075471698,1.8483018867924528,40.48591261739486,LOW EFFICIENCY,0.25695098167182945,1,LOW RISK
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,SANATHNAGAR,STREET LIGHTS,NON-DOMESTIC AND COMMERCIAL,2,6,6.0,275,16.0,45.833333333333336,1.0,2.6666666666666665,17.1875,LOW EFFICIENCY,0.24976375356632352,1,LOW RISK
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,SANATHNAGAR,SUBASH NAGAR,NON-DOMESTIC AND COMMERCIAL,2,81,80.0,10274,130.72,126.8395061728395,0.9876543209876544,1.6138271604938272,78.59547123623011,MEDIUM EFFICIENCY,0.2467194922458999,1,LOW RISK
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,SANATHNAGAR,SUBASH NAGAR (WEST),NON-DOMESTIC AND COMMERCIAL,2,50,46.0,6353,94.5,127.06,0.92,1.89,67.22751322751323,MEDIUM EFFICIENCY,0.2652809386365402,1,LOW RISK
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,SANATHNAGAR,TULASI NAGAR,NON-DOMESTIC AND COMMERCIAL,2,2,2.0,122,7.0,61.0,1.0,3.5,17.428571428571427,LOW EFFICIENCY,0.24316464435406038,1,LOW RISK
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,SANATHNAGAR,UDAY NAGAR,NON-DOMESTIC AND COMMERCIAL,2,21,19.0,3683,48.4,175.38095238095238,0.9047619047619048,2.304761904761905,76.09504132231405,MEDIUM EFFICIENCY,0.261814480361565,1,LOW RISK
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,BORABANDA,ALLAPUR,NON-DOMESTIC AND COMMERCIAL,2,92,83.0,23759,190.62,258.25,0.9021739130434784,2.0719565217391307,124.6406463120344,HIGH EFFICIENCY,0.2097480940335002,1,LOW RISK
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,BORABANDA,ALLAPUR-I,NON-DOMESTIC AND COMMERCIAL,2,79,79.0,13981,141.83,176.9746835443038,1.0,1.795316455696203,98.57575971233166,MEDIUM EFFICIENCY,0.23892753213404994,1,LOW RISK
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,BORABANDA,AROGYA NAGAR,NON-DOMESTIC AND COMMERCIAL,2,28,20.0,810,19.0,28.928571428571427,0.7142857142857143,0.6785714285714286,42.63157894736842,LOW EFFICIENCY,0.23283532441254606,1,LOW RISK
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,BORABANDA,BABBUGUDA,NON-DOMESTIC AND COMMERCIAL,2,44,42.0,4097,87.56,93.11363636363636,0.9545454545454546,1.99,46.79077204202832,LOW EFFICIENCY,0.2616502242186283,1,LOW RISK
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,BORABANDA,BANJARA NAGAR,NON-DOMESTIC AND COMMERCIAL,2,96,91.0,9612,120.02,100.125,0.9479166666666666,1.2502083333333334,80.08665222462923,MEDIUM EFFICIENCY,0.24434502728791496,1,LOW RISK
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,BORABANDA,BRAHMA SHANKAR NAGAR,NON-DOMESTIC AND COMMERCIAL,2,49,48.0,6382,56.7,130.24489795918367,0.979591836734694,1.1571428571428573,112.55731922398589,HIGH EFFICIENCY,0.24224377958367554,1,LOW RISK
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,BORABANDA,DOUBLE BEDROOM KAMALA NAGAR,NON-DOMESTIC AND COMMERCIAL,2,1,1.0,87,5.0,87.0,1.0,5.0,17.4,LOW EFFICIENCY,0.22866684630207995,1,LOW RISK
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,BORABANDA,GANESH NAGAR,NON-DOMESTIC AND COMMERCIAL,2,4,4.0,745,8.5,186.25,1.0,2.125,87.6470588235294,MEDIUM EFFICIENCY,0.24968616659129939,1,LOW RISK
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,BORABANDA,GRC HV BORABANDA,NON-DOMESTIC AND COMMERCIAL,2,143,106.0,266731,1858.16,1865.2517482517485,0.7412587412587412,12.994125874125874,143.54576570370688,HIGH EFFICIENCY,-0.03422950273264769,-1,MEDIUM RISK
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,BORABANDA,HARI NAGAR,NON-DOMESTIC AND COMMERCIAL,2,89,85.0,12131,130.89,136.3033707865169,0.9550561797752808,1.4706741573033706,92.68087707235084,MEDIUM EFFICIENCY,0.2437763990611453,1,LOW RISK
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,BORABANDA,JYOTHI NAGAR - I,NON-DOMESTIC AND COMMERCIAL,2,37,27.0,1170,50.58,31.62162162162162,0.7297297297297297,1.367027027027027,23.13167259786477,LOW EFFICIENCY,0.2445329771587691,1,LOW RISK
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,BORABANDA,JYOTHI NAGAR - II,NON-DOMESTIC AND COMMERCIAL,2,61,55.0,2529,57.86,41.459016393442624,0.9016393442622952,0.9485245901639344,43.70895264431386,LOW EFFICIENCY,0.2509213090723153,1,LOW RISK
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,BORABANDA,KABEER NAGAR,NON-DOMESTIC AND COMMERCIAL,2,37,34.0,1837,52.64,49.648648648648646,0.918918918918919,1.4227027027027028,34.89741641337386,LOW EFFICIENCY,0.26094564683506166,1,LOW RISK
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,BORABANDA,KARMIKA NAGAR (N),NON-DOMESTIC AND COMMERCIAL,2,46,39.0,4553,66.95,98.97826086956522,0.8478260869565217,1.4554347826086955,68.00597460791636,MEDIUM EFFICIENCY,0.2642505447541843,1,LOW RISK
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,BORABANDA,KARMIKA NAGAR (S),NON-DOMESTIC AND COMMERCIAL,2,32,31.0,2433,36.65,76.03125,0.96875,1.1453125,66.38472032742156,MEDIUM EFFICIENCY,0.2606078418120661,1,LOW RISK
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,BORABANDA,KARMIKA NAGAR II,NON-DOMESTIC AND COMMERCIAL,2,33,30.0,2245,30.99,68.03030303030303,0.9090909090909092,0.9390909090909092,72.44272345918039,MEDIUM EFFICIENCY,0.2560715923442509,1,LOW RISK
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,BORABANDA,MOTHI NAGAR (S),NON-DOMESTIC AND COMMERCIAL,2,138,127.0,22718,309.09,164.6231884057971,0.9202898550724636,2.239782608695652,73.49962794008218,MEDIUM EFFICIENCY,0.23552582172740416,1,LOW RISK
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,BORABANDA,N.R.R.PURAM SITE - II,NON-DOMESTIC AND COMMERCIAL,2,31,30.0,4077,60.26,131.51612903225808,0.967741935483871,1.943870967741936,67.65682044473947,MEDIUM EFFICIENCY,0.2642793323464591,1,LOW RISK
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,BORABANDA,N.R.R.PURAM SITE - III,NON-DOMESTIC AND COMMERCIAL,2,146,140.0,25841,205.62,176.9931506849315,0.958904109589041,1.4083561643835616,125.67357260966833,HIGH EFFICIENCY,0.17918238993876573,1,LOW RISK
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,BORABANDA,N.R.R.PURAM-III (W),NON-DOMESTIC AND COMMERCIAL,2,43,42.0,7907,57.88,183.88372093023256,0.9767441860465116,1.346046511627907,136.61022805805112,HIGH EFFICIENCY,0.22336934700596217,1,LOW RISK
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,BORABANDA,NATCO SCHOOL,NON-DOMESTIC AND COMMERCIAL,2,30,22.0,1732,25.24,57.73333333333333,0.7333333333333333,0.8413333333333333,68.62123613312204,MEDIUM EFFICIENCY,0.24013642604852237,1,LOW RISK
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,BORABANDA,NAVA BHARATH NAGAR,NON-DOMESTIC AND COMMERCIAL,2,32,32.0,5715,71.0,178.59375,1.0,2.21875,80.49295774647888,MEDIUM EFFICIENCY,0.2566246987960225,1,LOW RISK
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,BORABANDA,NEW RAMA RAO NAGAR,NON-DOMESTIC AND COMMERCIAL,2,22,20.0,1263,45.8,57.40909090909091,0.9090909090909092,2.0818181818181816,27.5764192139738,LOW EFFICIENCY,0.261362525957581,1,LOW RISK
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,BORABANDA,NSC BOSE NAGAR,NON-DOMESTIC AND COMMERCIAL,2,29,27.0,1384,32.66,47.72413793103448,0.9310344827586208,1.126206896551724,42.37599510104104,LOW EFFICIENCY,0.26132902568922806,1,LOW RISK
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,BORABANDA,PEDDAMMA NAGAR,NON-DOMESTIC AND COMMERCIAL,2,47,43.0,2431,46.12,51.723404255319146,0.9148936170212766,0.9812765957446808,52.7103209019948,MEDIUM EFFICIENCY,0.25898513866298345,1,LOW RISK
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,BORABANDA,PRATHIBHA NAGAR,NON-DOMESTIC AND COMMERCIAL,2,52,47.0,6529,72.08,125.5576923076923,0.903846153846154,1.386153846153846,90.57991120976692,MEDIUM EFFICIENCY,0.2602591439072795,1,LOW RISK
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,BORABANDA,RADHA KRISHNA NAGAR,NON-DOMESTIC AND COMMERCIAL,2,92,85.0,12480,146.2,135.65217391304347,0.9239130434782608,1.5891304347826083,85.36251709986321,MEDIUM EFFICIENCY,0.24715573280772246,1,LOW RISK
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,BORABANDA,RAJEEVGANDHI NAGAR,NON-DOMESTIC AND COMMERCIAL,2,40,33.0,6727,61.64,168.175,0.825,1.541,109.13367942894224,HIGH EFFICIENCY,0.24976644070634524,1,LOW RISK
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,BORABANDA,RAMA RAO NAGAR,NON-DOMESTIC AND COMMERCIAL,2,35,30.0,3146,42.42,89.88571428571429,0.8571428571428571,1.212,74.16313059877416,MEDIUM EFFICIENCY,0.2613345915246969,1,LOW RISK
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,BORABANDA,SHILPI NAGAR,NON-DOMESTIC AND COMMERCIAL,2,14,13.0,1339,13.58,95.64285714285714,0.9285714285714286,0.97,98.60088365243004,MEDIUM EFFICIENCY,0.2461879070701437,1,LOW RISK
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,BORABANDA,SHIVAJI NAGAR,NON-DOMESTIC AND COMMERCIAL,2,57,54.0,5269,78.2,92.43859649122808,0.9473684210526316,1.3719298245614036,67.37851662404091,MEDIUM EFFICIENCY,0.25923065756770314,1,LOW RISK
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,BORABANDA,SNEHAPURI COLONY,NON-DOMESTIC AND COMMERCIAL,2,55,52.0,5167,98.96,93.94545454545457,0.9454545454545454,1.7992727272727271,52.21301535974131,MEDIUM EFFICIENCY,0.25944174264489045,1,LOW RISK
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,BORABANDA,SNEHAPURICOLONY II,NON-DOMESTIC AND COMMERCIAL,2,101,96.0,12713,203.48,125.87128712871286,0.9504950495049505,2.0146534653465347,62.47788480440338,MEDIUM EFFICIENCY,0.25110861506397536,1,LOW RISK
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,BORABANDA,STREET LIGHTS,NON-DOMESTIC AND COMMERCIAL,2,6,6.0,1431,11.0,238.5,1.0,1.8333333333333333,130.0909090909091,HIGH EFFICIENCY,0.22684244748944266,1,LOW RISK
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,BORABANDA,SWARAJ NAGAR,NON-DOMESTIC AND COMMERCIAL,2,181,177.0,20149,257.34,111.32044198895028,0.9779005524861878,1.421767955801105,78.29719437320277,MEDIUM EFFICIENCY,0.21533862629064227,1,LOW RISK
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,BORABANDA,SWARAJ NAGAR (SOUTH),NON-DOMESTIC AND COMMERCIAL,2,92,91.0,19013,136.14,206.66304347826087,0.9891304347826086,1.479782608695652,139.6577053033642,HIGH EFFICIENCY,0.1935341022566544,1,LOW RISK
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,BORABANDA,VINAYAK NAGAR,NON-DOMESTIC AND COMMERCIAL,2,18,15.0,1095,24.98,60.833333333333336,0.8333333333333334,1.3877777777777778,43.83506805444355,LOW EFFICIENCY,0.26327221637169246,1,LOW RISK
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,BORABANDA,VINAYAKRAO NAGAR,NON-DOMESTIC AND COMMERCIAL,2,212,203.0,33012,301.52,155.71698113207546,0.9575471698113208,1.4222641509433962,109.48527460864952,HIGH EFFICIENCY,0.17909645182162293,1,LOW RISK
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,ERRAGADDA,AVANTHI NAGAR,NON-DOMESTIC AND COMMERCIAL,2,54,53.0,6035,82.4,111.75925925925924,0.9814814814814816,1.525925925925926,73.24029126213591,MEDIUM EFFICIENCY,0.2596590411011669,1,LOW RISK
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,ERRAGADDA,AVANTHI NAGAR THOTA,NON-DOMESTIC AND COMMERCIAL,2,21,18.0,1627,37.5,77.47619047619048,0.8571428571428571,1.7857142857142858,43.38666666666666,LOW EFFICIENCY,0.26412783838800696,1,LOW RISK
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,ERRAGADDA,AVANTHI NAGAR THOTA EAST,NON-DOMESTIC AND COMMERCIAL,2,26,26.0,3690,34.0,141.92307692307693,1.0,1.3076923076923077,108.52941176470588,HIGH EFFICIENCY,0.2478030249419535,1,LOW RISK
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,ERRAGADDA,AVANTHI NAGAR THOTA NEW II,NON-DOMESTIC AND COMMERCIAL,2,23,22.0,1612,46.0,70.08695652173913,0.9565217391304348,2.0,35.04347826086956,LOW EFFICIENCY,0.260647999363459,1,LOW RISK
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,ERRAGADDA,BALAJI SWARNA PURI,NON-DOMESTIC AND COMMERCIAL,2,92,86.0,30094,265.2,327.10869565217394,0.9347826086956522,2.882608695652174,113.47662141779789,HIGH EFFICIENCY,0.20894337863089524,1,LOW RISK
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,ERRAGADDA,CHATRAPATHI SHIVAJI NAGAR,NON-DOMESTIC AND COMMERCIAL,2,4,3.0,460,5.5,115.0,0.75,1.375,83.63636363636364,MEDIUM EFFICIENCY,0.24099486019497912,1,LOW RISK
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,ERRAGADDA,CT METERS HV(GRC) ERRAGADDA,NON-DOMESTIC AND COMMERCIAL,2,65,58.0,188230,2108.72,2895.846153846154,0.8923076923076924,32.44184615384615,89.26268067832619,MEDIUM EFFICIENCY,-0.042308407722556285,-1,MEDIUM RISK
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,ERRAGADDA,ERRAGADDA- SHAREEF GALLI,NON-DOMESTIC AND COMMERCIAL,2,129,99.0,11838,175.85,91.76744186046513,0.7674418604651163,1.3631782945736433,67.31873756042081,MEDIUM EFFICIENCY,0.22841651532304164,1,LOW RISK
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,ERRAGADDA,ERRAGADDA-GOKUL THEATER,NON-DOMESTIC AND COMMERCIAL,2,373,346.0,50479,739.6,135.33243967828415,0.9276139410187668,1.9828418230563003,68.25175770686857,MEDIUM EFFICIENCY,0.14140033403910218,1,LOW RISK
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,ERRAGADDA,ERRRAGADDA- J K POINT,NON-DOMESTIC AND COMMERCIAL,2,197,163.0,27723,286.75,140.7258883248731,0.8274111675126904,1.4555837563451777,96.68003487358328,MEDIUM EFFICIENCY,0.19426616333394542,1,LOW RISK
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,ERRAGADDA,GOUTHAM PURI,NON-DOMESTIC AND COMMERCIAL,2,26,25.0,3338,66.6,128.3846153846154,0.9615384615384616,2.5615384615384613,50.12012012012013,MEDIUM EFFICIENCY,0.26272146052147505,1,LOW RISK
